Data,First,Min,Max,Last
"05.06.2020 7:00:00",68.7975,68.48,68.86,68.545
"05.06.2020 8:00:00",68.545,68.5075,68.7475,68.665
"05.06.2020 9:00:00",68.66,68.5875,68.82,68.735
"05.06.2020 10:00:00",68.73,68.73,68.87,68.805
"05.06.2020 11:00:00",68.805,68.6725,68.8175,68.7
"05.06.2020 12:00:00",68.7075,68.3025,68.7525,68.4625
"05.06.2020 13:00:00",68.4625,68.26,68.4925,68.4
"05.06.2020 14:00:00",68.41,68.35,68.57,68.3625
"05.06.2020 15:00:00",68.37,68.3,68.47,68.45
"05.06.2020 16:00:00",68.45,68.415,68.65,68.64
"05.06.2020 17:00:00",68.64,68.51,68.73,68.5425
"05.06.2020 18:00:00",68.555,68.53,68.69,68.6275
"05.06.2020 19:00:00",68.64,68.59,68.705,68.655
"05.06.2020 20:00:00",68.66,68.6425,68.725,68.7
