Data,First,Min,Max,Last
"20.11.2007 7:00:00",24.4826,24.3208,24.5064,24.3303
"21.11.2007 7:00:00",24.3336,24.2972,24.3685,24.3085
"22.11.2007 7:00:00",24.3115,24.2937,24.338,24.311
"23.11.2007 7:00:00",24.3176,24.2322,24.3612,24.3186
"24.11.2007 7:00:00",24.3238,24.2782,24.3456,24.285
"25.11.2007 7:00:00",24.3238,24.2782,24.3456,24.285
"26.11.2007 7:00:00",24.3238,24.2782,24.3456,24.285
"27.11.2007 7:00:00",24.2791,24.2583,24.3399,24.3293
"28.11.2007 7:00:00",24.3338,24.3105,24.4275,24.3127
"29.11.2007 7:00:00",24.3175,24.3123,24.4234,24.4157
"30.11.2007 7:00:00",24.4187,24.3696,24.513,24.501
"01.12.2007 7:00:00",24.4972,24.4383,24.5247,24.4714
"02.12.2007 7:00:00",24.4972,24.4383,24.5247,24.4714
"03.12.2007 7:00:00",24.4972,24.4383,24.5247,24.4714
"04.12.2007 7:00:00",24.4732,24.377,24.4976,24.3873
"05.12.2007 7:00:00",24.3891,24.3766,24.5443,24.5278
"06.12.2007 7:00:00",24.5276,24.4853,24.5879,24.4977
"07.12.2007 7:00:00",24.4977,24.4752,24.537,24.4797
"08.12.2007 7:00:00",24.4846,24.4108,24.4976,24.4289
"09.12.2007 7:00:00",24.4846,24.4108,24.4976,24.4289
"10.12.2007 7:00:00",24.4846,24.4108,24.4976,24.4289
"11.12.2007 7:00:00",24.4294,24.4046,24.4875,24.4741
"12.12.2007 7:00:00",24.4739,24.4255,24.4746,24.4391
"13.12.2007 7:00:00",24.4391,24.4173,24.5487,24.5023
"14.12.2007 7:00:00",24.5017,24.4838,24.7,24.6822
"15.12.2007 7:00:00",24.6989,24.6667,24.7683,24.7101
"16.12.2007 7:00:00",24.6989,24.6667,24.7683,24.7101
"17.12.2007 7:00:00",24.6989,24.6667,24.7683,24.7101
"18.12.2007 7:00:00",24.7078,24.6871,24.7333,24.703
"19.12.2007 7:00:00",24.703,24.696,24.7693,24.7324
"20.12.2007 7:00:00",24.7339,24.7291,24.7931,24.7768
"21.12.2007 7:00:00",24.7769,24.7091,24.7854,24.7345
"22.12.2007 7:00:00",24.7389,24.7034,24.7395,24.7185
"23.12.2007 7:00:00",24.7389,24.7034,24.7395,24.7185
"24.12.2007 7:00:00",24.7389,24.7034,24.7395,24.7185
"25.12.2007 7:00:00",24.7206,24.709,24.7263,24.7197
"26.12.2007 7:00:00",24.7177,24.6313,24.7248,24.6439
"27.12.2007 7:00:00",24.6405,24.5934,24.6863,24.6064
"28.12.2007 7:00:00",24.6064,24.4855,24.6311,24.4882
"29.12.2007 7:00:00",24.4935,24.4681,24.6459,24.6006
"30.12.2007 7:00:00",24.4935,24.4681,24.6459,24.6006
"31.12.2007 7:00:00",24.4935,24.4681,24.6459,24.6006
"01.01.2008 7:00:00",24.6006,24.5944,24.6398,24.6368
"02.01.2008 7:00:00",24.633,24.4697,24.6353,24.4932
"03.01.2008 7:00:00",24.4929,24.416,24.5459,24.4554
"04.01.2008 7:00:00",24.4554,24.3856,24.5489,24.4607
"05.01.2008 7:00:00",24.4721,24.4385,24.5572,24.4997
"06.01.2008 7:00:00",24.4721,24.4385,24.5572,24.4997
"07.01.2008 7:00:00",24.4721,24.4385,24.5572,24.4997
"08.01.2008 7:00:00",24.4997,24.4505,24.5617,24.4862
"09.01.2008 7:00:00",24.488,24.4364,24.5466,24.4845
"10.01.2008 7:00:00",24.4849,24.3443,24.4912,24.3567
"11.01.2008 7:00:00",24.349,24.344,24.3878,24.3806
"12.01.2008 7:00:00",24.3541,24.2563,24.361,24.2868
"13.01.2008 7:00:00",24.3541,24.2563,24.361,24.2868
