Data,First,Min,Max,Last
"03.01.2017 7:00:00",60.9999,60.3692,61.2959,60.9086
"04.01.2017 7:00:00",60.8486,60.2439,61.2036,60.4666
"05.01.2017 7:00:00",60.1602,59.1814,60.4342,59.4227
"06.01.2017 7:00:00",59.2666,59.1104,59.7492,59.6073
"09.01.2017 7:00:00",59.6558,59.6336,60.0899,60.0753
"10.01.2017 7:00:00",60.0403,59.8242,60.282,60.1556
"11.01.2017 7:00:00",60.2482,59.4771,60.682,59.7455
"12.01.2017 7:00:00",59.7486,59.092,59.7486,59.3535
"13.01.2017 7:00:00",59.374,59.266,59.8512,59.678
"16.01.2017 7:00:00",59.5889,59.487,59.9427,59.8498
"17.01.2017 7:00:00",59.6725,58.9669,59.7154,59.4075
"18.01.2017 7:00:00",59.3835,59.0408,59.5719,59.5601
"19.01.2017 7:00:00",59.3447,59.1896,60.2591,59.7341
"20.01.2017 7:00:00",59.7369,59.5805,59.9404,59.7502
"23.01.2017 7:00:00",59.75,59.3074,59.75,59.5219
"24.01.2017 7:00:00",59.3479,59.0809,59.3739,59.2507
"25.01.2017 7:00:00",59.1839,59.0732,59.6566,59.5246
"26.01.2017 7:00:00",59.4703,59.3956,60.6172,60.4421
"27.01.2017 7:00:00",60.4091,59.5624,60.5411,59.8209
"30.01.2017 7:00:00",59.8772,59.5095,60.2839,59.9457
"31.01.2017 7:00:00",59.897,59.8773,60.2342,60.166
"01.02.2017 7:00:00",60.1993,60.0606,60.4219,60.1237
"02.02.2017 7:00:00",60.022,58.585,60.1122,59.4135
"03.02.2017 7:00:00",59.3936,58.7511,59.616,58.9622
"06.02.2017 7:00:00",58.9665,58.5903,59.0979,58.9062
"07.02.2017 7:00:00",59.2045,59.0077,59.4953,59.3441
"08.02.2017 7:00:00",59.4892,59.0965,59.6218,59.2339
"09.02.2017 7:00:00",59.0818,58.6965,59.1241,58.9703
"10.02.2017 7:00:00",58.9481,58.2292,58.9773,58.2567
"13.02.2017 7:00:00",58.315,57.8496,58.3158,58.0109
