Data,First,Min,Max,Last
"03.01.2011 7:00:00",40.7127,40.5395,40.9787,40.8498
"04.01.2011 7:00:00",40.7375,40.5888,41.0769,40.7115
"05.01.2011 7:00:00",40.5101,40.0257,40.6616,40.2035
"06.01.2011 7:00:00",40.0795,39.7782,40.3389,39.8398
"07.01.2011 7:00:00",39.5736,39.5473,40.0385,39.6062
"10.01.2011 7:00:00",39.4359,39.3959,39.8544,39.7634
"11.01.2011 7:00:00",39.7731,39.4746,39.8162,39.5913
"12.01.2011 7:00:00",39.6216,39.286,39.6669,39.4495
"13.01.2011 7:00:00",39.4558,39.3754,40.0987,39.9987
"14.01.2011 7:00:00",39.981,39.9517,40.2796,40.1125
"17.01.2011 7:00:00",40.0597,39.7775,40.0642,39.8078
"18.01.2011 7:00:00",39.8758,39.8139,40.2155,40.0133
"19.01.2011 7:00:00",40.1498,40.1082,40.3725,40.2154
"20.01.2011 7:00:00",40.1772,40.1425,40.5086,40.403
"21.01.2011 7:00:00",40.3927,40.3777,40.7012,40.6286
"24.01.2011 7:00:00",40.6446,40.4426,40.8072,40.7107
"25.01.2011 7:00:00",40.7221,40.4374,40.7497,40.6384
"26.01.2011 7:00:00",40.6673,40.6168,40.8375,40.6843
"27.01.2011 7:00:00",40.7512,40.5207,40.7618,40.6031
"28.01.2011 7:00:00",40.5987,40.4876,40.7911,40.5747
"31.01.2011 7:00:00",40.5189,40.4971,40.8793,40.8033
"01.02.2011 7:00:00",40.851,40.6551,40.9135,40.8852
"02.02.2011 7:00:00",40.9094,40.5884,41.0005,40.6239
"03.02.2011 7:00:00",40.6335,40.0723,40.6625,40.1561
"04.02.2011 7:00:00",40.1256,39.8527,40.1913,39.9386
"07.02.2011 7:00:00",40.0162,39.654,40.0434,39.7204
"08.02.2011 7:00:00",39.8309,39.77,40.0093,39.947
"09.02.2011 7:00:00",39.9241,39.9014,40.1719,40.1365
"10.02.2011 7:00:00",40.0958,39.8321,40.2013,39.9553
"11.02.2011 7:00:00",39.7804,39.6067,39.8704,39.6781
"14.02.2011 7:00:00",39.7034,39.3429,39.7537,39.5067
"15.02.2011 7:00:00",39.5557,39.4296,39.6737,39.6019
"16.02.2011 7:00:00",39.6118,39.463,39.7308,39.6025
"17.02.2011 7:00:00",39.6452,39.5922,39.8272,39.7808
"18.02.2011 7:00:00",39.8016,39.5974,39.8508,39.8057
"21.02.2011 7:00:00",39.8392,39.7932,39.9563,39.8854
"22.02.2011 7:00:00",39.642,39.6275,40.0758,39.9943
"23.02.2011 7:00:00",40.0579,40.0222,40.284,40.0965
"24.02.2011 7:00:00",40.1597,39.9383,40.1885,39.9787
"25.02.2011 7:00:00",40.0238,39.7443,40.0846,39.813
"28.02.2011 7:00:00",39.8373,39.7567,40.0077,39.8302
"01.03.2011 7:00:00",39.8538,39.6136,39.8898,39.6531
"02.03.2011 7:00:00",39.5992,39.2964,39.6256,39.3709
"03.03.2011 7:00:00",39.3765,39.0233,39.3796,39.3182
"04.03.2011 7:00:00",39.3585,39.2287,39.4719,39.3776
"07.03.2011 7:00:00",39.3835,39.3232,39.565,39.3938
"08.03.2011 7:00:00",39.4467,39.0737,39.483,39.3142
"09.03.2011 7:00:00",39.1208,39.099,39.5004,39.4399
"10.03.2011 7:00:00",39.4009,39.2425,39.5196,39.4499
"11.03.2011 7:00:00",39.4615,39.4185,39.8095,39.798
"14.03.2011 7:00:00",39.9957,39.7979,40.0036,39.8833
"15.03.2011 7:00:00",39.7523,39.7523,40.234,40.1718
"16.03.2011 7:00:00",40.1989,39.8344,40.2366,39.8669
"17.03.2011 7:00:00",39.9112,39.8886,40.1997,40.1356
"18.03.2011 7:00:00",40.2911,39.949,40.3762,40.3107
"21.03.2011 7:00:00",40.3462,40.044,40.3491,40.2054
"22.03.2011 7:00:00",40.2147,40.03,40.2219,40.1018
"23.03.2011 7:00:00",40.0387,39.9876,40.1736,40.0464
"24.03.2011 7:00:00",39.9745,39.8729,40.1949,40.1339
"25.03.2011 7:00:00",40.1025,39.7718,40.1196,39.8237
"28.03.2011 7:00:00",39.8645,39.8307,39.981,39.9388
"29.03.2011 7:00:00",39.9268,39.9018,40.1263,39.9648
"30.03.2011 7:00:00",39.9592,39.9564,40.3537,40.2846
"31.03.2011 7:00:00",40.3188,40.2461,40.4607,40.3286
"01.04.2011 7:00:00",40.275,39.946,40.3085,40.2363
"04.04.2011 7:00:00",40.2639,40.0954,40.319,40.2426
"05.04.2011 7:00:00",40.2047,40.1182,40.2679,40.2309
"06.04.2011 7:00:00",40.3178,40.2177,40.4505,40.4052
"07.04.2011 7:00:00",40.3314,40.2591,40.4532,40.3517
"08.04.2011 7:00:00",40.6012,40.3819,40.6018,40.4339
"11.04.2011 7:00:00",40.4672,40.3678,40.5595,40.486
"12.04.2011 7:00:00",40.4348,40.4151,40.7932,40.7218
"13.04.2011 7:00:00",40.7004,40.6789,40.8673,40.7481
"14.04.2011 7:00:00",40.7819,40.6479,40.9463,40.8678
"15.04.2011 7:00:00",40.8519,40.5328,40.9167,40.6262
"18.04.2011 7:00:00",40.4725,40.1669,40.5378,40.3351
"19.04.2011 7:00:00",40.3134,40.2964,40.5877,40.5389
"20.04.2011 7:00:00",40.7392,40.4882,40.8383,40.7322
"21.04.2011 7:00:00",40.875,40.631,40.9502,40.7747
"22.04.2011 7:00:00",40.7398,40.6885,40.8318,40.7844
"25.04.2011 7:00:00",40.7801,40.574,40.8415,40.6237
"26.04.2011 7:00:00",40.5566,40.5232,40.7244,40.667
"27.04.2011 7:00:00",40.7765,40.5644,40.7815,40.6665
"28.04.2011 7:00:00",41.0095,40.6775,41.0095,40.7297
"29.04.2011 7:00:00",40.8166,40.4948,40.889,40.599
"02.05.2011 7:00:00",40.5168,40.4561,40.7834,40.6594
"03.05.2011 7:00:00",40.4834,40.3644,40.6478,40.5744
"04.05.2011 7:00:00",40.4933,40.4263,40.6787,40.5855
"05.05.2011 7:00:00",40.6045,40.1237,40.6238,40.1509
"06.05.2011 7:00:00",40.212,39.8113,40.4105,39.864
"09.05.2011 7:00:00",39.9959,39.6928,40.1469,39.991
"10.05.2011 7:00:00",39.9559,39.7542,39.9559,39.8401
"11.05.2011 7:00:00",39.9143,39.4659,39.9317,39.5247
"12.05.2011 7:00:00",39.5338,39.4558,39.9309,39.8623
"13.05.2011 7:00:00",39.7886,39.4837,39.9159,39.5707
"16.05.2011 7:00:00",39.5501,39.5209,39.9872,39.8916
"17.05.2011 7:00:00",39.8648,39.7915,40.0068,39.9666
"18.05.2011 7:00:00",40.1147,39.8408,40.1289,39.9249
"19.05.2011 7:00:00",40.0409,39.7905,40.0649,39.9951
"20.05.2011 7:00:00",40.0248,39.6486,40.0792,39.9794
"23.05.2011 7:00:00",39.6612,39.6199,40.0451,40.0223
"24.05.2011 7:00:00",40.0863,39.9296,40.0998,39.9574
"25.05.2011 7:00:00",39.8539,39.8487,40.1283,40.0368
"26.05.2011 7:00:00",40.1533,39.6705,40.1916,39.8469
"27.05.2011 7:00:00",40.1488,39.9286,40.1521,40.0228
"30.05.2011 7:00:00",39.9693,39.9679,40.1342,40.0925
"31.05.2011 7:00:00",40.2774,40.1543,40.3791,40.22
"01.06.2011 7:00:00",40.331,40.1944,40.3997,40.1999
"02.06.2011 7:00:00",40.133,40.1314,40.4666,40.3761
"03.06.2011 7:00:00",40.4257,40.3082,40.9027,40.8813
"06.06.2011 7:00:00",40.7073,40.6018,40.7342,40.6352
"07.06.2011 7:00:00",40.6486,40.6099,40.721,40.6861
"08.06.2011 7:00:00",40.6626,40.4328,40.7051,40.5086
"09.06.2011 7:00:00",40.5618,40.2463,40.586,40.3061
"10.06.2011 7:00:00",40.1914,40.0877,40.3238,40.2107
"13.06.2011 7:00:00",40.1827,40.1215,40.3376,40.1957
"14.06.2011 7:00:00",40.3594,40.1945,40.3816,40.2807
"15.06.2011 7:00:00",40.1887,39.8209,40.2477,39.8609
"16.06.2011 7:00:00",39.7482,39.6979,39.9914,39.8945
"17.06.2011 7:00:00",39.8783,39.821,40.1976,40.0946
"20.06.2011 7:00:00",39.9107,39.8935,40.2227,40.1787
"21.06.2011 7:00:00",40.2379,40.0959,40.2833,40.2293
"22.06.2011 7:00:00",40.1996,40.1457,40.3507,40.2704
"23.06.2011 7:00:00",40.0656,39.9267,40.1488,40.122
"24.06.2011 7:00:00",40.3086,40.0167,40.3335,40.037
"27.06.2011 7:00:00",39.9027,39.9027,40.4198,40.3471
"28.06.2011 7:00:00",40.4382,40.2147,40.4467,40.3516
"29.06.2011 7:00:00",40.3966,40.2126,40.4709,40.3538
"30.06.2011 7:00:00",40.6074,40.3157,40.6129,40.4956
"01.07.2011 7:00:00",40.5038,40.2814,40.5547,40.3691
"04.07.2011 7:00:00",40.4916,40.3264,40.5094,40.4022
"05.07.2011 7:00:00",40.2525,40.2525,40.401,40.3036
