Data,First,Min,Max,Last
"09.11.2020 7:00:00",77.33,76.7475,77.3525,77.01
"09.11.2020 8:00:00",77.005,76.8775,77.2675,77.21
"09.11.2020 9:00:00",77.215,76.9475,77.23,77.13
"09.11.2020 10:00:00",77.1325,76.995,77.245,77.0875
"09.11.2020 11:00:00",77.0925,76.68,77.21,76.7075
"09.11.2020 12:00:00",76.7075,75.93,76.75,75.96
"09.11.2020 13:00:00",75.9625,75.85,76.22,76.13
"09.11.2020 14:00:00",76.13,75.9125,76.1675,76.0875
"09.11.2020 15:00:00",76.095,75.75,76.15,75.95
"09.11.2020 16:00:00",75.9575,75.9525,76.5,76.4025
"09.11.2020 17:00:00",76.4,76.155,76.435,76.24
"09.11.2020 18:00:00",76.24,76.2175,76.45,76.375
"09.11.2020 19:00:00",76.375,76.2875,76.4075,76.33
"09.11.2020 20:00:00",76.33,76.24,76.38,76.28
