Data,First,Min,Max,Last
"14.09.2020 7:00:00",74.845,74.575,74.9925,74.645
"14.09.2020 7:15:00",74.6375,74.6125,74.75,74.7025
"14.09.2020 7:30:00",74.7125,74.655,74.74,74.6975
"14.09.2020 7:45:00",74.6975,74.675,74.7775,74.775
"14.09.2020 8:00:00",74.7775,74.7,74.8,74.7775
"14.09.2020 8:15:00",74.78,74.72,74.785,74.745
"14.09.2020 8:30:00",74.745,74.7375,74.8975,74.87
"14.09.2020 8:45:00",74.875,74.855,74.8925,74.8775
"14.09.2020 9:00:00",74.88,74.87,75.06,75.045
"14.09.2020 9:15:00",75.0425,75.0175,75.14,75.0775
"14.09.2020 9:30:00",75.0725,75.07,75.255,75.23
"14.09.2020 9:45:00",75.245,75.22,75.35,75.255
"14.09.2020 10:00:00",75.2675,75.2025,75.28,75.225
"14.09.2020 10:15:00",75.22,75.21,75.28,75.23
"14.09.2020 10:30:00",75.2325,75.215,75.25,75.2225
"14.09.2020 10:45:00",75.2225,75.1775,75.265,75.2475
"14.09.2020 11:00:00",75.245,75.235,75.475,75.4475
"14.09.2020 11:15:00",75.4475,75.325,75.4625,75.33
"14.09.2020 11:30:00",75.3425,75.3425,75.435,75.3775
"14.09.2020 11:45:00",75.3925,75.2925,75.4075,75.4
"14.09.2020 12:00:00",75.395,75.3825,75.48,75.44
"14.09.2020 12:15:00",75.45,75.405,75.48,75.47
"14.09.2020 12:30:00",75.4675,75.405,75.5375,75.42
"14.09.2020 12:45:00",75.4175,75.3325,75.4525,75.3675
"14.09.2020 13:00:00",75.3725,75.29,75.375,75.335
"14.09.2020 13:15:00",75.335,75.3175,75.4775,75.39
"14.09.2020 13:30:00",75.4,75.2925,75.4325,75.3
"14.09.2020 13:45:00",75.2925,75.2125,75.3,75.275
"14.09.2020 14:00:00",75.27,75.1375,75.285,75.1825
"14.09.2020 14:15:00",75.1825,75.095,75.1825,75.145
"14.09.2020 14:30:00",75.135,75.135,75.2675,75.2325
"14.09.2020 14:45:00",75.2275,75.195,75.2975,75.2525
"14.09.2020 15:00:00",75.2475,75.1125,75.2475,75.1125
"14.09.2020 15:15:00",75.12,75.11,75.155,75.125
"14.09.2020 15:30:00",75.13,75.09,75.165,75.095
"14.09.2020 15:45:00",75.0925,75.085,75.16,75.1575
"14.09.2020 16:00:00",75.16,75.1,75.18,75.1375
"14.09.2020 16:15:00",75.14,75.1275,75.1725,75.15
"14.09.2020 16:30:00",75.15,75.1475,75.2175,75.2175
"14.09.2020 16:45:00",75.22,75.175,75.2225,75.21
"14.09.2020 17:00:00",75.2,75.155,75.2175,75.1775
"14.09.2020 17:15:00",75.185,75.185,75.2575,75.22
"14.09.2020 17:30:00",75.2275,75.215,75.2875,75.26
"14.09.2020 17:45:00",75.26,75.2175,75.26,75.2425
"14.09.2020 18:00:00",75.2325,75.225,75.3025,75.3025
"14.09.2020 18:15:00",75.3,75.2025,75.31,75.2625
"14.09.2020 18:30:00",75.2475,75.185,75.2525,75.1925
"14.09.2020 18:45:00",75.195,75.1825,75.2775,75.235
"14.09.2020 19:00:00",75.2375,75.21,75.2525,75.2475
"14.09.2020 19:15:00",75.235,75.1925,75.25,75.2
"14.09.2020 19:30:00",75.2,75.1775,75.21,75.205
"14.09.2020 19:45:00",75.2,75.19,75.2425,75.2225
"14.09.2020 20:00:00",75.2225,75.22,75.2525,75.2325
"14.09.2020 20:15:00",75.2375,75.225,75.2475,75.2475
"14.09.2020 20:30:00",75.2425,75.225,75.2475,75.24
"14.09.2020 20:45:00",75.2425,75.2325,75.2725,75.2725
